,address,area,city,detail,children,comment_num,detail_url,groupon_num,lat,lng,overall_rating,tag,type,lat,lng,name,province,street_id,telephone,uid
0,山东省青岛市市南区文登路28号,市南区,青岛市,1,[],100,http://api.map.baidu.com/place/detail?uid=61f634f6233ddb796b49f317&output=html&source=placeapi_v2,,36.067228236397,120.35682921562,4.1,旅游景点;公园,scope,36.070634,120.357364,青岛中山公园,山东省,61f634f6233ddb796b49f317,(0532)82870564,61f634f6233ddb796b49f317
1,山东省青岛市崂山区东海东路60号,崂山区,青岛市,1,[],100,http://api.map.baidu.com/place/detail?uid=987573fcf31545e54d2fdfdd&output=html&source=placeapi_v2,,36.075532474175,120.44684926865,3.9,旅游景点;水族馆,scope,36.075157,120.449285,青岛海昌极地海洋世界,山东省,987573fcf31545e54d2fdfdd,"(0532)89091819,(0532)85909999",987573fcf31545e54d2fdfdd
2,山东省青岛市黄岛区珠山风景区青岛森林野生动物世界,黄岛区,青岛市,1,[],100,http://api.map.baidu.com/place/detail?uid=e2562cc6933366262102206e&output=html&source=placeapi_v2,2,35.989818539925,120.06625182064,4.5,旅游景点;景点,scope,35.987489,120.064908,野生动物园,山东省,,(0532)86835555,e2562cc6933366262102206e
3,青岛市市南区龙山路16号甲,市南区,青岛市,1,[],100,http://api.map.baidu.com/place/detail?uid=93df0dc361c15c32882fb5cc&output=html&source=placeapi_v2,,36.071925850051,120.33637383258,4.0,旅游景点;公园,scope,36.072566,120.337993,信号山公园,山东省,93df0dc361c15c32882fb5cc,(0532)82798055,93df0dc361c15c32882fb5cc
4,山东省青岛市黄岛区漓江西路666号,黄岛区,青岛市,1,[],39,http://api.map.baidu.com/place/detail?uid=c3aab3ea072e1844912ca339&output=html&source=placeapi_v2,,35.954819654932,120.20990003081,4.7,旅游景点;其他,scope,35.953722,120.214328,唐岛湾,山东省,c3aab3ea072e1844912ca339,,c3aab3ea072e1844912ca339
5,山东省青岛市市南区珠海支路(奥帆中心东部市立医院),市南区,青岛市,1,[],32,http://api.map.baidu.com/place/detail?uid=e56e9ce0a92b4fc39e82ead1&output=html&source=placeapi_v2,,36.062039032398,120.41162134493,4.8,旅游景点;公园,scope,36.061247,120.412219,燕儿岛山公园,山东省,e56e9ce0a92b4fc39e82ead1,,e56e9ce0a92b4fc39e82ead1
6,青岛市市南区延安一路102号,市南区,青岛市,1,[],46,http://api.map.baidu.com/place/detail?uid=593850fb6e113f5cdf1e52f6&output=html&source=placeapi_v2,,36.077888419528,120.35851495328,4.5,旅游景点;动物园,scope,36.076061,120.355964,青岛动物园,山东省,593850fb6e113f5cdf1e52f6,,593850fb6e113f5cdf1e52f6
7,青岛市市南区福山支路24号,市南区,青岛市,1,[],23,http://api.map.baidu.com/place/detail?uid=96b672aa809e7074ce04ef17&output=html&source=placeapi_v2,,36.064273609561,120.34305824605,4.5,旅游景点;公园,scope,36.064961,120.342928,小鱼山公园,山东省,96b672aa809e7074ce04ef17,(0532)82868532,96b672aa809e7074ce04ef17
8,山东省青岛市城阳区兴阳路318号,城阳区,青岛市,1,[],26,http://api.map.baidu.com/place/detail?uid=b05732acfa667389018972c0&output=html&source=placeapi_v2,,36.292403840596,120.407260166,4.4,旅游景点;风景区,scope,36.291942,120.401812,青岛奥林匹克雕塑文化园,山东省,b05732acfa667389018972c0,(0532)87759871,b05732acfa667389018972c0
9,兴华路33号,李沧区,青岛市,1,[],25,http://api.map.baidu.com/place/detail?uid=5b25f44666b358eb10293535&output=html&source=placeapi_v2,,36.191175697254,120.3963701682,4.1,旅游景点;公园,scope,36.191082,120.395277,沧口公园,山东省,5b25f44666b358eb10293535,,5b25f44666b358eb10293535
